ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotUsingRelativePath,"pljava",,Oid,org.postgresql.pljava,D:/Mona/new-downloads/pljava_snapshots/pljava_1\src\java\org\postgresql\pljava\Oid.java,Oid.java
CS2,LocalReferencesAbuse,result.l,_BigDecimal_coerceDatum,,,D:/Mona/new-downloads/pljava_snapshots/pljava_1\src\C\pljava\type\BigDecimal.c,BigDecimal.c
CS3,LocalReferencesAbuse,result.l,_Double_coerceDatum,,,D:/Mona/new-downloads/pljava_snapshots/pljava_1\src\C\pljava\type\Double.c,Double.c
CS4,LocalReferencesAbuse,result.l,_Long_coerceDatum,,,D:/Mona/new-downloads/pljava_snapshots/pljava_1\src\C\pljava\type\Long.c,Long.c
CS5,LocalReferencesAbuse,jht,Tuple_create,,,D:/Mona/new-downloads/pljava_snapshots/pljava_1\src\C\pljava\type\Tuple.c,Tuple.c
CS6,LocalReferencesAbuse,result.l,_Boolean_coerceDatum,,,D:/Mona/new-downloads/pljava_snapshots/pljava_1\src\C\pljava\type\Boolean.c,Boolean.c
CS7,LocalReferencesAbuse,result.l,_Byte_coerceDatum,,,D:/Mona/new-downloads/pljava_snapshots/pljava_1\src\C\pljava\type\Byte.c,Byte.c
CS8,LocalReferencesAbuse,jtd,Relation_create,,,D:/Mona/new-downloads/pljava_snapshots/pljava_1\src\C\pljava\type\Relation.c,Relation.c
CS9,LocalReferencesAbuse,result.l,_Float_coerceDatum,,,D:/Mona/new-downloads/pljava_snapshots/pljava_1\src\C\pljava\type\Float.c,Float.c
CS10,LocalReferencesAbuse,result.l,Time_coerceDatumTZ,,,D:/Mona/new-downloads/pljava_snapshots/pljava_1\src\C\pljava\type\Time.c,Time.c
CS11,LocalReferencesAbuse,jtd,TupleDesc_create,,,D:/Mona/new-downloads/pljava_snapshots/pljava_1\src\C\pljava\type\TupleDesc.c,TupleDesc.c
