ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,sig,getMethodRef,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\include\conscrypt\jniutil.h,jniutil.h
CS2,NotHandlingExceptions,"fd",jniGetFDFromFileDescriptor,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\jniutil.cc,jniutil.cc
CS3,NotHandlingExceptions,,findClass,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\include\conscrypt\jniutil.h,jniutil.h
CS4,NotHandlingExceptions,className,jniThrowException,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\jniutil.cc,jniutil.cc
CS5,NotHandlingExceptions,sig,getFieldRef,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\include\conscrypt\jniutil.h,jniutil.h
CS6,NotHandlingExceptions,"descriptor",jniGetFDFromFileDescriptor,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\jniutil.cc,jniutil.cc
CS7,NotHandlingExceptions,className,jniRegisterNativeMethods,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\jniutil.cc,jniutil.cc
CS8,NotHandlingExceptions,sig,,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\include\conscrypt\jniutil.h,jniutil.h
CS9,NotHandlingExceptions,,getGlobalRefToClass,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\include\conscrypt\jniutil.h,jniutil.h
CS10,NotHandlingExceptions,"valueOf",init,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\jniutil.cc,jniutil.cc
CS11,NotHandlingExceptions,"java/io/FileDescriptor",jniGetFDFromFileDescriptor,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\jniutil.cc,jniutil.cc
CS12,NotSecuringLibraries,"gmscore",init,NativeCryptoJni,org.conscrypt,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\android\src\main\java\org\conscrypt\NativeCryptoJni.java,NativeCryptoJni.java
CS13,NotSecuringLibraries,libName,loadLibrary,NativeLibraryUtil,org.conscrypt,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\openjdk\src\main\java\org\conscrypt\NativeLibraryUtil.java,NativeLibraryUtil.java
CS14,NotSecuringLibraries,"javacrypto",init,NativeCryptoJni,org.conscrypt,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\platform\src\main\java\org\conscrypt\NativeCryptoJni.java,NativeCryptoJni.java
CS15,NotSecuringLibraries,"conscrypt_gmscore_jni",init,NativeCryptoJni,org.conscrypt,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\android\src\main\java\org\conscrypt\NativeCryptoJni.java,NativeCryptoJni.java
CS16,NotSecuringLibraries,"conscrypt_jni",init,NativeCryptoJni,org.conscrypt,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\android\src\main\java\org\conscrypt\NativeCryptoJni.java,NativeCryptoJni.java
CS17,AssumingSafeMultiLanguageReturnValues,"fd",jniGetFDFromFileDescriptor,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\jniutil.cc,jniutil.cc
CS18,AssumingSafeMultiLanguageReturnValues,,findClass,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\include\conscrypt\jniutil.h,jniutil.h
CS19,AssumingSafeMultiLanguageReturnValues,"descriptor",jniGetFDFromFileDescriptor,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\jniutil.cc,jniutil.cc
CS20,AssumingSafeMultiLanguageReturnValues,className,jniRegisterNativeMethods,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\jniutil.cc,jniutil.cc
CS21,AssumingSafeMultiLanguageReturnValues,sig,,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\include\conscrypt\jniutil.h,jniutil.h
CS22,AssumingSafeMultiLanguageReturnValues,,getGlobalRefToClass,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\include\conscrypt\jniutil.h,jniutil.h
CS23,AssumingSafeMultiLanguageReturnValues,"valueOf",init,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\jniutil.cc,jniutil.cc
CS24,AssumingSafeMultiLanguageReturnValues,"java/io/FileDescriptor",jniGetFDFromFileDescriptor,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\jniutil.cc,jniutil.cc
CS25,LocalReferencesAbuse,cipherSuite,NativeCrypto_SSL_set_cipher_lists,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\native_crypto.cc,native_crypto.cc
CS26,LocalReferencesAbuse,certArray,NativeCrypto_setLocalCertsAndPrivateKey,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\native_crypto.cc,native_crypto.cc
CS27,LocalReferencesAbuse,principal,NativeCrypto_SSL_set_client_CA_list,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\native_crypto.cc,native_crypto.cc
CS28,LocalReferencesAbuse,item,NativeCrypto_get_X509_GENERAL_NAME_stack,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\cpp\conscrypt\native_crypto.cc,native_crypto.cc
CS29,MemoryManagementMismatch,ByteArrayElements,setApplicationProtocols,,,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\common\src\jni\main\include\conscrypt\app_data.h,app_data.h
CS30,NotUsingRelativePath,"gmscore",init,NativeCryptoJni,org.conscrypt,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\android\src\main\java\org\conscrypt\NativeCryptoJni.java,NativeCryptoJni.java
CS31,NotUsingRelativePath,"javacrypto",init,NativeCryptoJni,org.conscrypt,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\platform\src\main\java\org\conscrypt\NativeCryptoJni.java,NativeCryptoJni.java
CS32,NotUsingRelativePath,"conscrypt_gmscore_jni",init,NativeCryptoJni,org.conscrypt,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\android\src\main\java\org\conscrypt\NativeCryptoJni.java,NativeCryptoJni.java
CS33,NotUsingRelativePath,"conscrypt_jni",init,NativeCryptoJni,org.conscrypt,D:/Mona/new-downloads/conscrypt_snapshots//conscrypt_35\android\src\main\java\org\conscrypt\NativeCryptoJni.java,NativeCryptoJni.java
