ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,p_v,ConvertYUV420RGB8,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_output\video_yuv.c,video_yuv.c
CS2,UnusedParameters,i_chroma_format,DecodeMPEG1NonIntra,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_parser\vpar_blocks.c,vpar_blocks.c
CS3,UnusedParameters,i_b,DecodeMPEG1Intra,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_parser\vpar_blocks.c,vpar_blocks.c
CS4,UnusedParameters,p_u,ConvertYUV420RGB8,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_output\video_yuv.c,video_yuv.c
CS5,UnusedParameters,excite[],ba_compute_excitation,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\ac3_decoder\ac3_bit_allocate.c,ac3_bit_allocate.c
CS6,UnusedParameters,p_y,ConvertYUV420RGB8,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_output\video_yuv.c,video_yuv.c
CS7,UnusedParameters,i_pic_width,ConvertYUV422RGB24,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_output\video_yuv.c,video_yuv.c
CS8,UnusedParameters,delay[],imdct_do_256,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\ac3_decoder\ac3_imdct.c,ac3_imdct.c
CS9,UnusedParameters,p_y,ConvertYUV420RGB16,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_output\video_yuv.c,video_yuv.c
CS10,UnusedParameters,i_matrix_coefficients,ConvertYUV444RGB24,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_output\video_yuv.c,video_yuv.c
CS11,UnusedParameters,p_u,ConvertYUV420RGB32,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_output\video_yuv.c,video_yuv.c
CS12,UnusedParameters,p_v,ConvertYUV420RGB32,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_output\video_yuv.c,video_yuv.c
CS13,UnusedParameters,ppsz_env[],main,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\interface\main.c,main.c
CS14,UnusedParameters,p_u,ConvertYUV420RGB16,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_output\video_yuv.c,video_yuv.c
CS15,UnusedParameters,p_v,ConvertYUV420RGB16,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_output\video_yuv.c,video_yuv.c
CS16,UnusedParameters,i_char_color,PutByte24,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\video_output\video_text.c,video_text.c
CS17,UnusedParameters,exps[],exp_unpack_ch,,,D:/Mona/new-downloads/vlc_snapshots/vlc_2\src\ac3_decoder\ac3_exponent.c,ac3_exponent.c
