ID,Name,Variable,Method,Class,Package,File,File Name
CS1,AssumingSafeMultiLanguageReturnValues,"java/lang/Thread",currentThread,,,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_21\java\idl2jni\runtime\idl2jni_runtime.cpp,idl2jni_runtime.cpp
CS2,AssumingSafeMultiLanguageReturnValues,"value",holderize,,,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_21\java\idl2jni\runtime\idl2jni_runtime.cpp,idl2jni_runtime.cpp
CS3,AssumingSafeMultiLanguageReturnValues,"<init>",Java_OpenDDS_DCPS_transport_TheTransportFactory_create_1transport_1impl__IZ,,,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_21\java\dds\OpenDDS_DCPS_jni.cpp,OpenDDS_DCPS_jni.cpp
CS4,AssumingSafeMultiLanguageReturnValues,"PER_CONNECTION_SYNCH",config_impl,,,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_21\java\dds\OpenDDS_DCPS_jni.cpp,OpenDDS_DCPS_jni.cpp
CS5,AssumingSafeMultiLanguageReturnValues,"<init>",Java_OpenDDS_DCPS_transport_TheTransportFactory_create_1transport_1impl__ILjava_lang_String_2Z,,,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_21\java\dds\OpenDDS_DCPS_jni.cpp,OpenDDS_DCPS_jni.cpp
CS6,AssumingSafeMultiLanguageReturnValues,"org/omg/CORBA/CompletionStatus",throw_cxx_exception,,,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_21\java\idl2jni\runtime\idl2jni_runtime.cpp,idl2jni_runtime.cpp
CS7,AssumingSafeMultiLanguageReturnValues,"id",config_impl,,,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_21\java\dds\OpenDDS_DCPS_jni.cpp,OpenDDS_DCPS_jni.cpp
CS8,AssumingSafeMultiLanguageReturnValues,"<init>",Java_i2jrt_ORB_init,,,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_21\java\idl2jni\runtime\i2jrt_ORB.cpp,i2jrt_ORB.cpp
CS9,AssumingSafeMultiLanguageReturnValues,"setContextClassLoader",setContextClassLoader,,,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_21\java\idl2jni\runtime\idl2jni_runtime.cpp,idl2jni_runtime.cpp
CS10,AssumingSafeMultiLanguageReturnValues,,,,,D:/Mona/new-downloads/OpenDDS_snapshots/OpenDDS_21\java\dds\OpenDDS_jni_helpers.h,OpenDDS_jni_helpers.h
