Release, S_B, NS_B, S_NB, NS_NB, Odds_ratio, p-value
3.0.0, 0, 0, 25, 65, nan, 1.0
3.0.11, 0, 0, 25, 65, nan, 1.0
3.0.13, 3, 4, 22, 61, 2.0795454545454546, 0.39195
3.0.92, 0, 0, 27, 63, nan, 1.0
3.0.96, 0, 0, 27, 63, nan, 1.0
3.1.0, 0, 1, 28, 61, 0.0, 1.0
3.1.2, 0, 1, 28, 61, 0.0, 1.0
3.1.6, 0, 0, 28, 62, nan, 1.0
master, 0, 0, 34, 56, nan, 1.0
