Release, S_B, NS_B, S_NB, NS_NB, Odds_ratio, p-value
0.5.4.5, 1, 0, 4, 73, inf, 0.0641
0.5.5.1, 0, 0, 5, 73, nan, 1.0
0.5.5.4, 0, 3, 5, 70, 0.0, 1.0
0.5.6, 0, 1, 5, 72, 0.0, 1.0
0.5.7, 0, 5, 6, 67, 0.0, 1.0
0.6.0, 0, 0, 6, 72, nan, 1.0
0.6.1, 2, 5, 4, 67, 6.7, 0.08757
0.6.2, 1, 13, 6, 58, 0.7435897435897436, 1.0
0.6.3, 1, 38, 8, 33, 0.10855263157894737, 0.02937
master, 0, 0, 28, 57, nan, 1.0
