Release, S_B, NS_B, S_NB, NS_NB, Odds_ratio, p-value
1.0.0.RC11, 2, 1, 46, 97, 4.217391304347826, 0.25161
1.0.0.RC14, 2, 2, 2, 116, 58.0, 0.00477
1.0.0.RC2, 2, 1, 27, 109, 8.074074074074074, 0.11031
1.0.0.RC8, 8, 16, 29, 89, 1.5344827586206897, 0.44466
1.0.1, 4, 4, 45, 94, 2.088888888888889, 0.44129
1.0.2, 0, 0, 49, 98, nan, 1.0
1.1.1, 0, 2, 54, 96, 0.0, 0.53886
1.2.0, 1, 0, 59, 98, inf, 0.37975
1.4.2, 2, 0, 59, 97, inf, 0.14754
2.1.0, 0, 0, 64, 95, nan, 1.0
