Release, S_B, NS_B, S_NB, NS_NB, Odds_ratio, p-value
0.9, 0, 1, 13, 6, 0.0, 0.35
1.2.1, 2, 0, 12, 7, inf, 0.53333
1.2.7, 2, 0, 12, 7, inf, 0.53333
1.2, 12, 0, 2, 7, inf, 0.00031
1.3.2, 2, 2, 12, 5, 0.4166666666666667, 0.57427
1.3, 2, 1, 12, 6, 1.0, 1.0
1.4.2, 2, 1, 15, 6, 0.8, 1.0
1.4.4, 0, 0, 19, 6, nan, 1.0
1.4, 1, 1, 15, 6, 0.4, 0.52569
1.5, 1, 1, 18, 5, 0.2777777777777778, 0.43
master, 0, 0, 19, 6, nan, 1.0
