Release, S_B, NS_B, S_NB, NS_NB, Odds_ratio, p-value
0.90.0, 1, 4, 22, 450, 5.113636363636363, 0.21977
1.2.0, 4, 39, 18, 415, 2.364672364672365, 0.12696
2.3.2, 0, 5, 36, 441, 0.0, 1.0
3.7.2, 2, 10, 49, 426, 1.7387755102040816, 0.36338
4.4.0, 0, 0, 66, 428, nan, 1.0
5.11.0, 0, 0, 78, 420, nan, 1.0
5.4.0, 0, 0, 71, 425, nan, 1.0
5.7.1, 0, 0, 74, 424, nan, 1.0
5.9.0, 0, 0, 77, 421, nan, 1.0
master, 0, 0, 78, 420, nan, 1.0
