ID_Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
248,CS248,UnusedDeclaration,,model_eval,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
249,CS249,UnusedDeclaration,,func_entry_get_arg,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
250,CS250,UnusedDeclaration,,get_ast_hash,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
251,CS251,UnusedDeclaration,,goal_num_exprs,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
252,CS252,UnusedDeclaration,,msat_term_is_bv_neg,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.1,11/27/2015
253,CS253,UnusedDeclaration,,get_quantifier_bound_sort,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
254,CS254,UnusedDeclaration,,get_smtlib_num_decls,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
255,CS255,UnusedDeclaration,,param_descrs_size,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
256,CS256,UnusedDeclaration,,msat_make_bv_zext,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.1,11/27/2015
257,CS257,UnusedDeclaration,,msat_create_shared_env,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.1,11/27/2015
258,CS258,UnusedDeclaration,,optimize_get_model,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
259,CS259,UnusedDeclaration,,fixedpoint_register_relation,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
260,CS260,UnusedDeclaration,,msat_make_floor,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.1,11/27/2015
261,CS261,UnusedDeclaration,,mk_bvsub_no_underflow,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
262,CS262,UnusedDeclaration,,mk_constructor_list,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
263,CS263,UnusedDeclaration,,msat_term_is_bv_sext,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.1,11/27/2015
264,CS264,UnusedDeclaration,,msat_term_is_uf,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.1,11/27/2015
265,CS265,UnusedDeclaration,,msat_term_is_bv_zext,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.1,11/27/2015
266,CS266,UnusedDeclaration,,mk_false,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
267,CS267,UnusedDeclaration,,goal_to_string,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
268,CS268,UnusedDeclaration,,mk_bvnot,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
269,CS269,UnusedDeclaration,,params_inc_ref,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
270,CS270,UnusedDeclaration,,optimize_inc_ref,Z3NativeApi,org.sosy_lab.solver.z3,java-smt-0.1/src/org/sosy_lab/solver/z3/Z3NativeApi.java,Z3NativeApi.java,java-smt,java-smt-0.1,11/27/2015
271,CS271,UnusedDeclaration,,msat_make_bv_ror,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.1,11/27/2015
272,CS272,UnusedDeclaration,,msat_make_fp_cast,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,java-smt-0.1/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java,java-smt,java-smt-0.1,11/27/2015
