Id-Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
32,CS32,UnusedDeclaration,,_unregisterSnapshot,VarlenaWrapper,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/VarlenaWrapper.java,VarlenaWrapper.java,pljava,pljava-master,3/19/2019
33,CS33,UnusedDeclaration,,_release,PgSavepoint,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/PgSavepoint.java,PgSavepoint.java,pljava,pljava-master,3/19/2019
34,CS34,UnusedDeclaration,,_getUser,AclId,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-master,3/19/2019
35,CS35,UnusedDeclaration,,_clearFunctionCache,Backend,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Backend.java,Backend.java,pljava,pljava-master,3/19/2019
36,CS36,UnusedDeclaration,,_detoast,VarlenaWrapper,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/VarlenaWrapper.java,VarlenaWrapper.java,pljava,pljava-master,3/19/2019
37,CS37,UnusedDeclaration,,_hasSchemaCreatePermission,AclId,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-master,3/19/2019
38,CS38,UnusedDeclaration,,_getSavedErrno,ErrorData,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,ErrorData.java,pljava,pljava-master,3/19/2019
39,CS39,UnusedDeclaration,,_modifyTuple,Relation,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Relation.java,Relation.java,pljava,pljava-master,3/19/2019
40,CS40,UnusedDeclaration,,_isSuperuser,AclId,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/AclId.java,AclId.java,pljava,pljava-master,3/19/2019
41,CS41,UnusedDeclaration,,_pfree,DualState<T>,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/DualState.java,DualState.java,pljava,pljava-master,3/19/2019
42,CS42,UnusedDeclaration,,_getColumnName,TupleDesc,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/TupleDesc.java,TupleDesc.java,pljava,pljava-master,3/19/2019
43,CS43,UnusedDeclaration,,_isAtEnd,Portal,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/Portal.java,Portal.java,pljava,pljava-master,3/19/2019
