System,Release,Smell,S_B,NS_B,S_NB,NS_NB,Odds_ratio,p-value
conscrypt,javacpp-1.4.2,MemoryManagementMismatch,0,2,17,15,0.0,0.48485
conscrypt,javacpp-1.4.2,LocalReferencesAbuse,0,2,17,15,0.0,0.48485
conscrypt,javacpp-1.3,excessiveInterlangCommunication,1,1,13,13,1.0,1.0
conscrypt,javacpp-1.3,Toomuchclustring,1,1,13,13,1.0,1.0
conscrypt,javacpp-1.3,ToomuchScattering,0,2,14,12,0.0,0.48148
conscrypt,javacpp-1.3,UnusedMethodDeclaration,1,1,13,13,1.0,1.0
conscrypt,javacpp-1.3,UnusedMethodImplementation,0,2,14,12,0.0,0.48148
conscrypt,javacpp-1.3,UnusedParameter,0,2,14,12,0.0,0.48148
conscrypt,javacpp-1.3,NotHandlingExceptions,0,2,14,12,0.0,0.48148
conscrypt,javacpp-1.3,NotSecuringLibraries,1,1,13,13,1.0,1.0
conscrypt,javacpp-1.3,HardCodingLibraries,1,1,13,13,1.0,1.0
conscrypt,javacpp-1.3,NotUsingRelativePath,0,2,14,12,0.0,0.48148
conscrypt,javacpp-1.3,MemoryManagementMismatch,0,2,14,12,0.0,0.48148
conscrypt,javacpp-1.3,LocalReferencesAbuse,0,2,14,12,0.0,0.48148
conscrypt,javacpp-1.5,excessiveInterlangCommunication,0,1,19,18,0.0,1.0
conscrypt,javacpp-1.5,Toomuchclustring,0,1,19,18,0.0,1.0
conscrypt,javacpp-1.5,ToomuchScattering,1,0,18,19,inf,1.0
conscrypt,javacpp-1.5,UnusedMethodDeclaration,1,0,18,19,inf,1.0
conscrypt,javacpp-1.5,UnusedMethodImplementation,0,1,19,18,0.0,1.0
conscrypt,javacpp-1.5,UnusedParameter,0,1,19,18,0.0,1.0
conscrypt,javacpp-1.5,NotHandlingExceptions,0,1,19,18,0.0,1.0
conscrypt,javacpp-1.5,NotSecuringLibraries,1,0,18,19,inf,1.0
conscrypt,javacpp-1.5,HardCodingLibraries,0,1,19,18,0.0,1.0
conscrypt,javacpp-1.5,NotUsingRelativePath,0,1,19,18,0.0,1.0
conscrypt,javacpp-1.5,MemoryManagementMismatch,0,1,19,18,0.0,1.0
conscrypt,javacpp-1.5,LocalReferencesAbuse,0,1,19,18,0.0,1.0
conscrypt,javacpp-1.5.1-1,excessiveInterlangCommunication,0,0,19,19,nan,1.0
conscrypt,javacpp-1.5.1-1,Toomuchclustring,0,0,19,19,nan,1.0
conscrypt,javacpp-1.5.1-1,ToomuchScattering,0,0,19,19,nan,1.0
conscrypt,javacpp-1.5.1-1,UnusedMethodDeclaration,0,0,19,19,nan,1.0
conscrypt,javacpp-1.5.1-1,UnusedMethodImplementation,0,0,19,19,nan,1.0
conscrypt,javacpp-1.5.1-1,UnusedParameter,0,0,19,19,nan,1.0
conscrypt,javacpp-1.5.1-1,NotHandlingExceptions,0,0,19,19,nan,1.0
conscrypt,javacpp-1.5.1-1,NotSecuringLibraries,0,0,19,19,nan,1.0
conscrypt,javacpp-1.5.1-1,HardCodingLibraries,0,0,19,19,nan,1.0
conscrypt,javacpp-1.5.1-1,NotUsingRelativePath,0,0,19,19,nan,1.0
conscrypt,javacpp-1.5.1-1,MemoryManagementMismatch,0,0,19,19,nan,1.0
conscrypt,javacpp-1.5.1-1,LocalReferencesAbuse,0,0,19,19,nan,1.0
conscrypt,javacpp-1.2.1,excessiveInterlangCommunication,1,1,13,13,1.0,1.0
conscrypt,javacpp-1.2.1,Toomuchclustring,1,1,13,13,1.0,1.0
conscrypt,javacpp-1.2.1,ToomuchScattering,0,2,14,12,0.0,0.48148
conscrypt,javacpp-1.2.1,UnusedMethodDeclaration,1,1,13,13,1.0,1.0
conscrypt,javacpp-1.2.1,UnusedMethodImplementation,0,2,14,12,0.0,0.48148
conscrypt,javacpp-1.2.1,UnusedParameter,0,2,14,12,0.0,0.48148
conscrypt,javacpp-1.2.1,NotHandlingExceptions,0,2,14,12,0.0,0.48148
