Id_Table,ID,Name,Variable,Method,Class,Package,File Path,File Name,System,Version,Release
30,CS30,UnusedDeclaration,,get,SizeTPointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/SizeTPointer.java,SizeTPointer.java,javacpp,javacpp-1.3,12/7/2016
31,CS31,UnusedDeclaration,,strlen,BytePointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3,12/7/2016
32,CS32,UnusedDeclaration,,strcpy,BytePointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3,12/7/2016
33,CS33,UnusedDeclaration,,physicalBytes,Pointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3,12/7/2016
34,CS34,UnusedDeclaration,,realloc,Pointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3,12/7/2016
35,CS35,UnusedDeclaration,,strcoll,BytePointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3,12/7/2016
36,CS36,UnusedDeclaration,,strxfrm,BytePointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3,12/7/2016
37,CS37,UnusedDeclaration,,deallocate,Pointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3,12/7/2016
38,CS38,UnusedDeclaration,,asDirectBuffer,Pointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3,12/7/2016
39,CS39,UnusedDeclaration,,storeUniqueData,AdapterTest,org.bytedeco.javacpp,javacpp-1.3/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3,12/7/2016
40,CS40,UnusedDeclaration,,createSharedData,AdapterTest,org.bytedeco.javacpp,javacpp-1.3/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3,12/7/2016
41,CS41,UnusedDeclaration,,memchr,Pointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3,12/7/2016
42,CS42,UnusedDeclaration,,memcmp,Pointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3,12/7/2016
43,CS43,UnusedDeclaration,,strncpy,BytePointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3,12/7/2016
44,CS44,UnusedDeclaration,,fetchUniqueData,AdapterTest,org.bytedeco.javacpp,javacpp-1.3/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3,12/7/2016
45,CS45,UnusedDeclaration,,strcspn,BytePointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3,12/7/2016
46,CS46,UnusedDeclaration,,strcat,BytePointer,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3,12/7/2016
47,CS47,HardCodingLibraries,filename2,loadLibrary,Loader,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/Loader.java,Loader.java,javacpp,javacpp-1.3,12/7/2016
48,CS48,NotSecuringLibraries,libname,loadLibrary,Loader,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/Loader.java,Loader.java,javacpp,javacpp-1.3,12/7/2016
49,CS49,NotSecuringLibraries,filename2,loadLibrary,Loader,org.bytedeco.javacpp,javacpp-1.3/src/main/java/org/bytedeco/javacpp/Loader.java,Loader.java,javacpp,javacpp-1.3,12/7/2016
