Id_Table,ID,Name,Variable,Method,Class,Package,File Path,File Name,System,Version,Release
29,CS29,UnusedDeclaration,,allocateArray,SizeTPointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/SizeTPointer.java,SizeTPointer.java,javacpp,javacpp-1.3.2,3/10/2017
30,CS30,UnusedDeclaration,,free,Pointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3.2,3/10/2017
31,CS31,UnusedDeclaration,,strchr,BytePointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3.2,3/10/2017
32,CS32,UnusedDeclaration,,strspn,BytePointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3.2,3/10/2017
33,CS33,UnusedDeclaration,,strstr,BytePointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3.2,3/10/2017
34,CS34,UnusedDeclaration,,strcmp,BytePointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3.2,3/10/2017
35,CS35,UnusedDeclaration,,calloc,Pointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3.2,3/10/2017
36,CS36,UnusedDeclaration,,testStdString,AdapterTest,org.bytedeco.javacpp,javacpp-1.3.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3.2,3/10/2017
37,CS37,UnusedDeclaration,,totalChips,Loader,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Loader.java,Loader.java,javacpp,javacpp-1.3.2,3/10/2017
38,CS38,UnusedDeclaration,,destructorCount,AdapterTest,org.bytedeco.javacpp,javacpp-1.3.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3.2,3/10/2017
39,CS39,UnusedDeclaration,,memmove,Pointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3.2,3/10/2017
40,CS40,UnusedDeclaration,,strerror,BytePointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3.2,3/10/2017
41,CS41,UnusedDeclaration,,strrchr,BytePointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3.2,3/10/2017
42,CS42,UnusedDeclaration,,constructorCount,AdapterTest,org.bytedeco.javacpp,javacpp-1.3.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3.2,3/10/2017
43,CS43,UnusedDeclaration,,malloc,Pointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3.2,3/10/2017
44,CS44,UnusedDeclaration,,get,SizeTPointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/SizeTPointer.java,SizeTPointer.java,javacpp,javacpp-1.3.2,3/10/2017
45,CS45,UnusedDeclaration,,strlen,BytePointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3.2,3/10/2017
46,CS46,UnusedDeclaration,,strcoll,BytePointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3.2,3/10/2017
47,CS47,UnusedDeclaration,,strxfrm,BytePointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/BytePointer.java,BytePointer.java,javacpp,javacpp-1.3.2,3/10/2017
48,CS48,UnusedDeclaration,,deallocate,Pointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3.2,3/10/2017
49,CS49,UnusedDeclaration,,createSharedData,AdapterTest,org.bytedeco.javacpp,javacpp-1.3.2/src/test/java/org/bytedeco/javacpp/AdapterTest.java,AdapterTest.java,javacpp,javacpp-1.3.2,3/10/2017
50,CS50,UnusedDeclaration,,memchr,Pointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3.2,3/10/2017
51,CS51,UnusedDeclaration,,memcmp,Pointer,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Pointer.java,Pointer.java,javacpp,javacpp-1.3.2,3/10/2017
52,CS52,HardCodingLibraries,filename2,loadLibrary,Loader,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Loader.java,Loader.java,javacpp,javacpp-1.3.2,3/10/2017
53,CS53,NotSecuringLibraries,libname,loadLibrary,Loader,org.bytedeco.javacpp,javacpp-1.3.2/src/main/java/org/bytedeco/javacpp/Loader.java,Loader.java,javacpp,javacpp-1.3.2,3/10/2017
