language,project,file_name,sha,author,author_date,is_bug,insertion,deletion
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLContextImpl.java,d5dd6fe269525905815a57141032c9b413e2da1d,Adam Vartanian,2019-08-13 13:28:58,,11,9
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLProvider.java,d5dd6fe269525905815a57141032c9b413e2da1d,Adam Vartanian,2019-08-13 13:28:58,,22,9
java,conscrypt,openjdk/src/test/java/org/conscrypt/ConscryptTest.java,d5dd6fe269525905815a57141032c9b413e2da1d,Adam Vartanian,2019-08-13 13:28:58,,76,0
java,conscrypt,testing/src/main/java/org/conscrypt/TestUtils.java,d5dd6fe269525905815a57141032c9b413e2da1d,Adam Vartanian,2019-08-13 13:28:58,,3,3
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/KeyFactoryTestRSA.java,6b4bf3985f6e57f8944e8d135b5412cd4973a686,Adam Vartanian,2019-08-13 12:13:40,,10,28
java,conscrypt,testing/src/main/java/org/conscrypt/java/security/AbstractKeyFactoryTest.java,6b4bf3985f6e57f8944e8d135b5412cd4973a686,Adam Vartanian,2019-08-13 12:13:40,,4,0
readme,conscrypt,README.md,648a3973dae2b7b85a218da92cfd3e28ef9bafd5,Adam Vartanian,2019-08-08 12:02:24,,5,5
gradle,conscrypt,build.gradle,648a3973dae2b7b85a218da92cfd3e28ef9bafd5,Adam Vartanian,2019-08-08 12:02:24,,1,1
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/ConscryptJava7Suite.java,6bdfb523c2bf4521670289d82d74343c1dfdbd23,Adam Vartanian,2019-08-08 11:55:37,,2,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/ConscryptSuite.java,6bdfb523c2bf4521670289d82d74343c1dfdbd23,Adam Vartanian,2019-08-08 11:55:37,,2,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/KeyFactoryTestEC.java,6bdfb523c2bf4521670289d82d74343c1dfdbd23,Adam Vartanian,2019-08-08 11:55:37,,36,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/KeyFactoryTestRSA.java,6bdfb523c2bf4521670289d82d74343c1dfdbd23,Adam Vartanian,2019-08-08 11:55:37,,28,11
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/java/security/KeyPairGeneratorTest.java,6bdfb523c2bf4521670289d82d74343c1dfdbd23,Adam Vartanian,2019-08-08 11:55:37,,0,7
