system;version;release;FileName;JNINativeFlag;Smelly;excessiveInterlangCommunication;Toomuchclustring;ToomuchScattering;UnusedMethodDeclaration;UnusedMethodImplementation;UnusedParameter;AssumingSafeReturnValue;ExcessiveObjects;NotHandlingExceptions;NotCachingObjects;NotSecuringLibraries;HardCodingLibraries;NotUsingRelativePath;MemoryManagementMismatch;LocalReferencesAbuse;CLOC;PrevFixing;CodeChurn;InducingFlag;Inducing;LOC
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;benchmark-jmh/src/jmh/java/org/conscrypt/JmhCipherEncryptBenchmark.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;benchmark-jmh/src/jmh/java/org/conscrypt/JmhClientSocketBenchmark.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1835;2;108;1;1;116
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;benchmark-jmh/src/jmh/java/org/conscrypt/JmhEngineHandshakeBenchmark.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;benchmark-jmh/src/jmh/java/org/conscrypt/JmhEngineWrapBenchmark.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1835;2;0;1;1;112
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;benchmark-jmh/src/jmh/java/org/conscrypt/JmhServerSocketBenchmark.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1835;2;106;1;1;115
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;benchmark-jmh/src/jmh/java/org/conscrypt/OpenJdkCipherFactory.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;benchmark-jmh/src/jmh/java/org/conscrypt/OpenJdkEndpointFactory.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;benchmark-jmh/src/jmh/java/org/conscrypt/OpenJdkEngineFactory.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6968;5;54;1;4;266
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/jni/main/cpp/conscrypt/compatibility_close_monitor.cc;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2435;2;6;1;3;42
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/jni/main/cpp/conscrypt/jniload.cc;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1769;3;0;1;2;67
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/jni/main/cpp/conscrypt/jniutil.cc;1;1;0;0;0;0;0;0;5;0;6;0;0;0;0;0;0;5153;9;597;1;5;498
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/jni/main/cpp/conscrypt/native_crypto.cc;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;72062;32;5566;1;137;9625
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/jni/main/include/conscrypt/app_data.h;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6248;5;100;1;4;278
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/jni/main/include/conscrypt/bio_stream.h;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;427;2;0;1;1;83
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/jni/main/include/conscrypt/compat.h;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;526;1;0;1;1;110
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/jni/main/include/conscrypt/compatibility_close_monitor.h;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2441;2;24;1;4;110
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/jni/main/include/conscrypt/jniutil.h;1;1;0;0;0;0;0;0;3;0;5;0;0;0;0;0;0;4106;2;268;1;1;268
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/jni/main/include/conscrypt/logging.h;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281;1;89;1;1;83
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/jni/main/include/conscrypt/macros.h;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;721;1;0;1;1;217
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/AbstractConscryptSocket.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9260;3;1236;1;3;213
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/AllocatedBuffer.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;349;1;245;1;1;88
