Id_Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
387,CS387,UnusedParameters,v,onClick,MainTvActivity,org.videolan.vlc.gui.tv,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/tv/MainTvActivity.java,MainTvActivity.java,vlc-android-3.0.172,vlc-android-3.0.0,2/8/2018
388,CS388,UnusedParameters,argf1,onEventNative,Media,org.videolan.libvlc,vlc-android-3.0.0/libvlc/src/org/videolan/libvlc/Media.java,Media.java,vlc-android-3.0.173,vlc-android-3.0.0,2/8/2018
389,CS389,UnusedParameters,intent,onBind,VLCExtensionService,org.videolan.vlc.extensions.api,vlc-android-3.0.0/api/src/main/java/org/videolan/vlc/extensions/api/VLCExtensionService.java,VLCExtensionService.java,vlc-android-3.0.174,vlc-android-3.0.0,2/8/2018
390,CS390,UnusedParameters,savedInstanceState,onActivityCreated,VLCApplication,org.videolan.vlc,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/VLCApplication.java,VLCApplication.java,vlc-android-3.0.175,vlc-android-3.0.0,2/8/2018
391,CS391,UnusedParameters,xcs,checkClientTrusted,XMLRPCClient,de.timroes.axmlrpc,vlc-android-3.0.0/java-libs/axmlrpc/src/main/java/de/timroes/axmlrpc/XMLRPCClient.java,XMLRPCClient.java,vlc-android-3.0.176,vlc-android-3.0.0,2/8/2018
392,CS392,UnusedParameters,aVoid,onPostExecute,InfoActivity,org.videolan.vlc.gui,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/InfoActivity.java,InfoActivity.java,vlc-android-3.0.177,vlc-android-3.0.0,2/8/2018
393,CS393,UnusedParameters,flags,writeToParcel,MediaWrapper,org.videolan.medialibrary.media,vlc-android-3.0.0/medialibrary/src/org/videolan/medialibrary/media/MediaWrapper.java,MediaWrapper.java,vlc-android-3.0.178,vlc-android-3.0.0,2/8/2018
394,CS394,UnusedParameters,listener,setOnInfoListener,MediaPlayer,org.videolan.libvlc.media,vlc-android-3.0.0/libvlc/src/org/videolan/libvlc/media/MediaPlayer.java,MediaPlayer.java,vlc-android-3.0.179,vlc-android-3.0.0,2/8/2018
395,CS395,UnusedParameters,position,getItemId,VideoListAdapter,org.videolan.vlc.gui.video,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/video/VideoListAdapter.java,VideoListAdapter.java,vlc-android-3.0.180,vlc-android-3.0.0,2/8/2018
396,CS396,UnusedParameters,extras,onCustomAction,PlaybackService,org.videolan.vlc,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/PlaybackService.java,PlaybackService.java,vlc-android-3.0.181,vlc-android-3.0.0,2/8/2018
397,CS397,UnusedParameters,listener,setOnBufferingUpdateListener,MediaPlayer,org.videolan.libvlc.media,vlc-android-3.0.0/libvlc/src/org/videolan/libvlc/media/MediaPlayer.java,MediaPlayer.java,vlc-android-3.0.182,vlc-android-3.0.0,2/8/2018
398,CS398,UnusedParameters,container,instantiateItem,AudioPagerAdapter,org.videolan.vlc.gui.audio,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/audio/AudioPagerAdapter.java,AudioPagerAdapter.java,vlc-android-3.0.183,vlc-android-3.0.0,2/8/2018
399,CS399,UnusedParameters,context,addTimedTextSource,MediaPlayer,org.videolan.libvlc.media,vlc-android-3.0.0/libvlc/src/org/videolan/libvlc/media/MediaPlayer.java,MediaPlayer.java,vlc-android-3.0.184,vlc-android-3.0.0,2/8/2018
400,CS400,UnusedParameters,v,onTouch,AudioAlbumsSongsFragment,org.videolan.vlc.gui.audio,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/audio/AudioAlbumsSongsFragment.java,AudioAlbumsSongsFragment.java,vlc-android-3.0.185,vlc-android-3.0.0,2/8/2018
401,CS401,UnusedParameters,v,onLongClick,SavePlaylistDialog,org.videolan.vlc.gui.dialogs,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/dialogs/SavePlaylistDialog.java,SavePlaylistDialog.java,vlc-android-3.0.186,vlc-android-3.0.0,2/8/2018
402,CS402,UnusedParameters,outState,onActivitySaveInstanceState,VLCApplication,org.videolan.vlc,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/VLCApplication.java,VLCApplication.java,vlc-android-3.0.187,vlc-android-3.0.0,2/8/2018
403,CS403,UnusedParameters,start,onTextChanged,SearchActivity,org.videolan.vlc.gui,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/SearchActivity.java,SearchActivity.java,vlc-android-3.0.188,vlc-android-3.0.0,2/8/2018
404,CS404,UnusedParameters,itemViewHolder,onItemSelected,SortedBrowserFragment,org.videolan.vlc.gui.tv.browser,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/tv/browser/SortedBrowserFragment.java,SortedBrowserFragment.java,vlc-android-3.0.189,vlc-android-3.0.0,2/8/2018
405,CS405,UnusedParameters,after,beforeTextChanged,SearchActivity,org.videolan.vlc.gui,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/SearchActivity.java,SearchActivity.java,vlc-android-3.0.190,vlc-android-3.0.0,2/8/2018
406,CS406,UnusedParameters,progress,onSwitching,AudioPlaylistItemViewGroup,org.videolan.vlc.gui.view,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/view/AudioPlaylistItemViewGroup.java,AudioPlaylistItemViewGroup.java,vlc-android-3.0.191,vlc-android-3.0.0,2/8/2018
407,CS407,UnusedParameters,savedInstanceState,onCreateView,HistoryFragment,org.videolan.vlc.gui,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/HistoryFragment.java,HistoryFragment.java,vlc-android-3.0.192,vlc-android-3.0.0,2/8/2018
408,CS408,UnusedParameters,count,beforeTextChanged,SearchActivity,org.videolan.vlc.gui,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/SearchActivity.java,SearchActivity.java,vlc-android-3.0.193,vlc-android-3.0.0,2/8/2018
409,CS409,UnusedParameters,mode,onPrepareActionMode,MediaBrowserFragment,org.videolan.vlc.gui.browser,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/browser/MediaBrowserFragment.java,MediaBrowserFragment.java,vlc-android-3.0.194,vlc-android-3.0.0,2/8/2018
410,CS410,UnusedParameters,startId,onStartCommand,ExtensionManagerService,org.videolan.vlc.extensions,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/extensions/ExtensionManagerService.java,ExtensionManagerService.java,vlc-android-3.0.195,vlc-android-3.0.0,2/8/2018
411,CS411,UnusedParameters,holder,surfaceChanged,AWindow,org.videolan.libvlc,vlc-android-3.0.0/libvlc/src/org/videolan/libvlc/AWindow.java,AWindow.java,vlc-android-3.0.196,vlc-android-3.0.0,2/8/2018
412,CS412,UnusedParameters,v,onEditorAction,MRLPanelFragment,org.videolan.vlc.gui.network,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/network/MRLPanelFragment.java,MRLPanelFragment.java,vlc-android-3.0.197,vlc-android-3.0.0,2/8/2018
413,CS413,UnusedParameters,msec,seekTo,MediaPlayer,org.videolan.libvlc.media,vlc-android-3.0.0/libvlc/src/org/videolan/libvlc/media/MediaPlayer.java,MediaPlayer.java,vlc-android-3.0.198,vlc-android-3.0.0,2/8/2018
414,CS414,UnusedParameters,v,onClick,FilePickerFragment,org.videolan.vlc.gui.browser,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/browser/FilePickerFragment.java,FilePickerFragment.java,vlc-android-3.0.199,vlc-android-3.0.0,2/8/2018
415,CS415,UnusedParameters,rowViewHolder,onItemSelected,MainTvActivity,org.videolan.vlc.gui.tv,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/tv/MainTvActivity.java,MainTvActivity.java,vlc-android-3.0.200,vlc-android-3.0.0,2/8/2018
416,CS416,UnusedParameters,level,setAuxEffectSendLevel,MediaPlayer,org.videolan.libvlc.media,vlc-android-3.0.0/libvlc/src/org/videolan/libvlc/media/MediaPlayer.java,MediaPlayer.java,vlc-android-3.0.201,vlc-android-3.0.0,2/8/2018
417,CS417,UnusedParameters,mode,onDestroyActionMode,HistoryFragment,org.videolan.vlc.gui,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/HistoryFragment.java,HistoryFragment.java,vlc-android-3.0.202,vlc-android-3.0.0,2/8/2018
418,CS418,UnusedParameters,row,onItemSelected,BrowserGridFragment,org.videolan.vlc.gui.tv.browser,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/tv/browser/BrowserGridFragment.java,BrowserGridFragment.java,vlc-android-3.0.203,vlc-android-3.0.0,2/8/2018
419,CS419,UnusedParameters,seekBar,onProgressChanged,EqualizerBar,org.videolan.vlc.gui.view,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/view/EqualizerBar.java,EqualizerBar.java,vlc-android-3.0.204,vlc-android-3.0.0,2/8/2018
420,CS420,UnusedParameters,intent,onReceive,NetworkBrowserFragment,org.videolan.vlc.gui.browser,vlc-android-3.0.0/vlc-android/src/org/videolan/vlc/gui/browser/NetworkBrowserFragment.java,NetworkBrowserFragment.java,vlc-android-3.0.205,vlc-android-3.0.0,2/8/2018
