Project,FileName,system,version,package,class,release,FullDate,TimeBetweenHRS,BuggyFlag,InducingFlag,JNINativeFlag,Smelly,TotalSmelly,TotalFixing,TotalInducing,TIMEFIX,excessiveInterlangCommunication,Toomuchclustring,ToomuchScattering,UnusedMethodDeclaration,UnusedMethodImplementation,UnusedParameter,AssumingSafeReturnValue,ExcessiveObjects,NotHandlingExceptions,NotCachingObjects,NotSecuringLibraries,HardCodingLibraries,NotUsingRelativePath,MemoryManagementMismatch,LocalReferencesAbuse,CLOL,Added,Removed,PrevInducing,PrevFixing,PrevCLOCInducing,PrevAddedInducing,PrevRemovedInducing,PrevCLOCFixing,PrevAddedFixing,PrevRemovedFixing,,CommitMessage
facebook/rocksdb,db/compacted_db_impl.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,5,0,1492,446,102,0,0,0,,"Disable IngestExternalFile in ReadOnly mode
facebook/rocksdb,db/compaction/compaction.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_iteration_stats.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_iterator.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_iterator.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_iterator_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_job.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_job.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_job_stats_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_job_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_picker.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_picker.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_picker_fifo.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_picker_fifo.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_picker_level.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_picker_level.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_picker_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_picker_universal.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/compaction/compaction_picker_universal.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/comparator_db_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/convenience.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/corruption_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/cuckoo_table_db_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_basic_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_blob_index_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_block_cache_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_bloom_filter_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_compaction_filter_test.cc,rocksdb,rocksdb-5.0.2,rocksdb,KeepFilter,1/18/2017,2017-01-18T21:16:33Z,787,0,0,1,1,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_compaction_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_dynamic_level_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_encryption_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_filesnapshot.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_flush_test.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,33,0,7,0,933,183,8,0,0,0,,"Flush job should release reference current version if sync log failed
facebook/rocksdb,db/db_impl/db_impl.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_impl/db_impl.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_impl/db_impl_compaction_flush.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_impl/db_impl_debug.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_impl/db_impl_experimental.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_impl/db_impl_files.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_impl/db_impl_open.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_impl/db_impl_readonly.cc,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
facebook/rocksdb,db/db_impl/db_impl_readonly.h,rocksdb,rocksdb-5.0.2,,,1/18/2017,2017-01-18T21:16:33Z,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
