Id_Table,ID,Name,Variable,Method,Class,Package,File Path,File Name,System,Version,Release
28,CS28,MemoryManagementMismatch,CharArrayElements,GetCharArrayElements,,,zstd-jni-master/jni/jni.h,jni.h,zstd-jni,zstd-jni-master,8/19/2019
29,CS29,MemoryManagementMismatch,StringChars,GetStringChars,,,zstd-jni-master/jni/jni.h,jni.h,zstd-jni,zstd-jni-master,8/19/2019
30,CS30,NotHandlingExceptions,produced,Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStreamWithDict,,,zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
31,CS31,NotHandlingExceptions,dstPos,Java_com_github_luben_zstd_ZstdInputStream_initDStream,,,zstd-jni-master/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
32,CS32,NotHandlingExceptions,consumed,Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStreamWithDict,,,zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
33,CS33,NotHandlingExceptions,produced,Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStream,,,zstd-jni-master/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
34,CS34,NotHandlingExceptions,consumed,Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStream,,,zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
35,CS35,NotHandlingExceptions,produced,Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStreamWithFastDict,,,zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
36,CS36,NotHandlingExceptions,nativePtr,Java_com_github_luben_zstd_ZstdDictCompress_init,,,zstd-jni-master/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
37,CS37,NotHandlingExceptions,nativePtr,Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStreamWithFastDict,,,zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
38,CS38,NotHandlingExceptions,nativePtr,Java_com_github_luben_zstd_ZstdDictDecompress_init,,,zstd-jni-master/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
39,CS39,NotHandlingExceptions,srcPos,Java_com_github_luben_zstd_ZstdOutputStream_resetCStream,,,zstd-jni-master/src/main/native/jni_outputstream_zstd.c,jni_outputstream_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
40,CS40,NotHandlingExceptions,nativePtr,Java_com_github_luben_zstd_Zstd_loadFastDictDecompress,,,zstd-jni-master/src/main/native/jni_zstd.c,jni_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
41,CS41,NotHandlingExceptions,dstPos,Java_com_github_luben_zstd_ZstdOutputStream_resetCStream,,,zstd-jni-master/src/main/native/jni_outputstream_zstd.c,jni_outputstream_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
42,CS42,NotHandlingExceptions,Ljava/lang/OutOfMemoryError;,Java_com_github_luben_zstd_Zstd_trainFromBufferDirect,,,zstd-jni-master/src/main/native/jni_zdict.c,jni_zdict.c,zstd-jni,zstd-jni-master,8/19/2019
43,CS43,NotHandlingExceptions,Ljava/lang/OutOfMemoryError;,Java_com_github_luben_zstd_Zstd_trainFromBuffer,,,zstd-jni-master/src/main/native/jni_zdict.c,jni_zdict.c,zstd-jni,zstd-jni-master,8/19/2019
44,CS44,NotHandlingExceptions,consumed,Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStreamWithFastDict,,,zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
45,CS45,NotHandlingExceptions,nativePtr,Java_com_github_luben_zstd_Zstd_loadFastDictCompress,,,zstd-jni-master/src/main/native/jni_zstd.c,jni_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
46,CS46,NotHandlingExceptions,produced,Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStream,,,zstd-jni-master/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
47,CS47,NotHandlingExceptions,srcPos,Java_com_github_luben_zstd_ZstdInputStream_initDStream,,,zstd-jni-master/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
48,CS48,NotHandlingExceptions,consumed,Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStream,,,zstd-jni-master/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
49,CS49,NotCachingObjectsElements,nativePtr,Java_com_github_luben_zstd_ZstdDictDecompress_init,,,zstd-jni-master/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
50,CS50,NotCachingObjectsElements,dstPos,Java_com_github_luben_zstd_ZstdInputStream_initDStream,,,zstd-jni-master/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
51,CS51,NotCachingObjectsElements,nativePtr,Java_com_github_luben_zstd_Zstd_loadFastDictDecompress,,,zstd-jni-master/src/main/native/jni_zstd.c,jni_zstd.c,zstd-jni,zstd-jni-master,8/19/2019
